versionDate,packageName,className,classSize,duplicateCount,duplicateLines,largestDuplicate
2008,base.trunk.src.org.hsqldb.types,ClobData,34,3,17,6
2007,base.trunk.src.org.hsqldb,Types,603,7,66,14
2008,base.trunk.test.org.hsqldb.jdbc,jdbcSQLXMLTest,243,6,34,7
2008,base.trunk.test.org.hsqldb.jdbc,jdbcConnectionTest,597,12,100,16
2008,base.trunk.src.org.hsqldb.types,DateTimeType,715,34,256,28
2008,base.trunk.src.org.hsqldb.test,JDBCBench,850,21,239,31
2008,base.trunk.src.org.hsqldb.types,IntervalType,1359,51,374,28
2008,base.trunk.src.org.hsqldb.server,WebServer,69,3,29,16
2008,base.trunk.src.org.hsqldb,SchemaObjectSet,199,5,27,6
2008,base.trunk.src.org.hsqldb.result,ResultMetaData,236,1,5,5
2008,base.trunk.test.org.hsqldb.jdbc,jdbcResultSetTest,2067,205,1183,23
2008,base.trunk.src.org.hsqldb,SchemaManager,970,16,203,23
2008,base.trunk.test.org.hsqldb.jdbc,jdbcResultSetMetaDataTest,324,5,55,23
2007,base.trunk.src.org.hsqldb.types,NullType,65,3,18,7
2007,base.trunk.src.org.hsqldb.util,TransferSQLText,636,23,181,22
2007,base.trunk.src.org.hsqldb.index,MemoryNode,26,1,6,6
2008,base.trunk.test.org.hsqldb.jdbc,jdbcConnectionCreateStatementTest,117,9,90,24
2008,base.trunk.src.org.hsqldb.rowio,RowInputBase,183,1,9,9
2007,base.trunk.src.org.hsqldb.rowio,RowOutputBinary,220,4,26,7
2007,base.trunk.src.org.hsqldb.test,TestTimestamp,214,4,21,6
2008,base.trunk.src.org.hsqldb,TriggerDef,237,4,34,12
2008,base.trunk.src.org.hsqldb.types,NullType,65,3,18,7
2008,base.trunk.src.org.hsqldb.scriptio,ScriptWriterBase,255,3,17,6
2008,base.trunk.test.org.hsqldb.jdbc,jdbcClobTest,175,11,97,15
2008,base.trunk.src.org.hsqldb,Function,291,4,22,6
2007,base.trunk.src.org.hsqldb.rowio,RowOutputBase,150,1,7,7
2008,base.trunk.src.org.hsqldb.test,TestMultiInsert,90,6,64,26
2008,base.trunk.src.org.hsqldb.lib,IntKeyIntValueHashMap,119,20,212,19
2008,base.trunk.src.org.hsqldb.types,BinaryType,406,32,245,19
2008,base.trunk.src.org.hsqldb.util,QueryTool,376,6,37,9
2008,base.trunk.src.org.hsqldb.lib,IntKeyLongValueHashMap,50,4,29,13
2008,base.trunk.src.org.hsqldb.persist,DataFileCache,484,5,26,6
2008,base.trunk.src.org.hsqldb.sample,FindFile,80,1,5,5
2007,base.trunk.test.org.hsqldb.jdbc,jdbcDataSourceTest,79,3,20,8
2008,base.trunk.src.org.hsqldb.util,HsqldbTransferHelper,52,2,10,5
2008,base.trunk.src.org.hsqldb.lib,HsqlArrayList,193,3,24,8
2007,base.trunk.src.org.hsqldb.sample,FindFile,80,1,5,5
2007,base.trunk.src.org.hsqldb.util,TransferDb,665,11,82,14
2008,base.trunk.src.org.hsqldb,TransactionManager,181,2,12,6
2008,base.trunk.src.org.hsqldb.types,OtherType,88,10,59,8
2008,base.trunk.test.org.hsqldb.jdbc,jdbcParameterMetaDataTest,125,3,21,8
2007,base.trunk.src.org.hsqldb.jdbc,jdbcConnection,740,11,69,7
2008,base.trunk.src.org.hsqldb.lib,DataOutputStream,88,2,10,5
2007,base.trunk.src.org.hsqldb.util,ZaurusChoice,59,2,12,7
2007,base.trunk.src.org.hsqldb.result,ResultMetaData,236,1,5,5
2008,base.trunk.test.org.hsqldb.jdbc,jdbcDriverTest,94,4,26,8
2007,base.trunk.test.org.hsqldb.jdbc,jdbcDriverTest,94,4,25,8
2007,base.trunk.src.org.hsqldb.lib,LongKeyHashMap,113,17,199,24
2008,base.trunk.src.org.hsqldb.test,TestDateTime,181,6,64,16
2007,base.trunk.src.org.hsqldb.sample,Testdb,80,1,5,5
2007,base.trunk.src.org.hsqldb.test,AllSimpleTests,49,1,5,5
2008,base.trunk.src.org.hsqldb.test,TestKarl,179,2,20,10
2007,base.trunk.src.org.hsqldb.test,SqlToolHarness,259,1,5,5
2008,base.trunk.src.org.hsqldb.rowio,RowOutputBinary,228,4,26,7
2008,base.trunk.src.org.hsqldb.jdbc.pool,JDBCXADataSource,80,1,13,13
2008,base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationFull,1766,44,301,21
